hangul	hanja	clause	published_hangul_span	published_mixed_span	context	clause_sha256	source_url
안전	安全	5.2	안전보장	安全保障	national security; component of a longer compound	ea8ac4a88fe3e85687b9322e5256338858ef156472be08f58983348a9ccd80b2	https://ko.wikisource.org/w/index.php?oldid=407869
전체	全體	7.1	국민전체	國民全體	the people as a whole; component of a longer written compound	ac000db34f6b517ab3de2d0b1081247b4a42e78eb2ae111b12c5270db8b31aeb	https://ko.wikisource.org/w/index.php?oldid=407869
영역	領域	11.1	영역	領域	areas of civic life; noun with a following particle	033c441723908a60f25fb7793fd33b12ea457764b24cb022f2394bc6bba804ee	https://ko.wikisource.org/w/index.php?oldid=407869
선택	選擇	15	직업선택	職業選擇	choice of occupation; component of a longer compound	e0efbbb9b0da71620cf1439e2e57b7dfcc4166d07fc693aac397792675db0c75	https://ko.wikisource.org/w/index.php?oldid=407869
수정	修正	53.3	수정하여	修正하여	modifying a bill; lexical stem with Hangul connective ending	bebe620118c91775931d21acce0784babcd809283b120a34cbc0e05f6320b3ab	https://ko.wikisource.org/w/index.php?oldid=407869
확정	確定	53.6	확정법률	確定法律	a finalized law; only the third occurrence in this clause has Hanja, within a longer compound	051ca5fd6b43676e98ce0b5531bb05a09cf78e912c17fca3ad42f9f767c2f3e3	https://ko.wikisource.org/w/index.php?oldid=407869
변경	變更	56	변경	變更	a change to the budget; noun with following particle	d6f461889365f448cb6ef7e150470e9ea0a86d0375dc90bb9c65ba3989f1ee5b	https://ko.wikisource.org/w/index.php?oldid=407869
추가	追加	56	추가경정예산안	追加更正豫算案	a supplementary budget bill; component of a longer compound	d6f461889365f448cb6ef7e150470e9ea0a86d0375dc90bb9c65ba3989f1ee5b	https://ko.wikisource.org/w/index.php?oldid=407869
문서	文書	82	문서	文書	a written official document; two occurrences with Hangul particles	804a38ee261f6f4d71577afc3bc4f726bc9f00ce3152e316b7b8c31d49b552a0	https://ko.wikisource.org/w/index.php?oldid=407869
범위	範圍	114.7	직무범위	職務範圍	scope of duties; component of a longer compound	bb55bcfe10b0b4ecdbd2c2006e4a1c552cdc8bbec48debe6d6db8273b6941a6e	https://ko.wikisource.org/w/index.php?oldid=407869
품질	品質	124	품질향상	品質向上	improvement of product quality; component of a longer compound	d5df80229bbf7170183abec6abd68bc0b6b7de520315583e29c35a81a32c7e34	https://ko.wikisource.org/w/index.php?oldid=407869
정보	情報	127.1	정보	情報	information in a civic/economic context; standalone noun	330fa853dd41ae27e9cc1864a5664646dda4f21e847ede3d57049c1351e38eac	https://ko.wikisource.org/w/index.php?oldid=407869
