vietnamese	previous_form	reviewed_form	app_context	initial_match_count_or_scope
thông báo bản quyền	樋 報板 拳	通 報 版權	copyright notice	1
hình bầu dục	型 保 欲	形 匏 欲	oval	1
phần trăm tính	枌 𤾓 性	分 𤾓 併	computed percentage	1
bán trong suốt	半 𪚚 𠁸	半 沖 𠁸	translucent	1
khóa tỷ lệ	課 比例	銙 比例	lock proportions	7
dữ liệu	与 療	與 料	data	17
màu nước	𦭷 著	𦭷 渃	watercolour	4
kính lúp	徑 𧙀	鏡 𧙀	magnifying lens	3
kích thước	擊 𡱩	戟 𡱩	dimensions	74
hoàn tác	桓 作	還 作	undo; editorial technical compound	12
hoán đổi	喚 𢷮	換 𢷮	swap	3
ngôi sao	𡾵 抄	𡾵 𣇟	star	3
dấu sao	𨁪 抄	𨁪 𣇟	asterisk	1
năm cánh	𢆥 竟	𠄼 𦑃	five points	1
trái tim	債 心	𣛤 心	heart shape	3
ban đầu	癍 頭	班 頭	initial	2
thiết bị	竊 𣖾	設備	device	4
ước tính	約 性	約 併	estimate; editorial technical compound	6
ký tự	記 嗣	記 字	character	6
mật khẩu	𦟽 口	密 口	password	1
tập lệnh	襲 令	集 令	script; editorial technical compound	1
phái sinh	派 牲	派 生	derived	3
phát hành	發 荇	發 行	publish	3
dung sai	庸 𡗂	容 差	tolerance; editorial technical compound	2
tọa độ	坐 渡	座 度	coordinates	5
phục hồi	伏 茴	復 回	restore	1
thông báo	樋 豹	通 報	notice	5
thông qua	樋 瓜	通 瓜	through	1
trong suốt	𪚚 𠁸	沖 𠁸	transparent	2
sắc độ	嗇 渡	色 度	hue	2
chuyển sắc	囀 嗇	轉 色	colour transition	1
điều hướng	樤 向	調 向	navigation; editorial technical compound	7
đa giác	栘 捔	多 角	polygon; compositional term	9
thang xám	湯 繿	簜 繿	greyscale	1
màu đồng	𦭷 僮	𦭷 銅	copper	1
thứ ba	次 爸	次 𠀧	third	1
bản dịch	版 奕	版 譯	translation	1
thể dịch	体 奕	体 譯	translatable	1
tiếng Anh	㗂 婴	㗂 英	English language	2
tự dồn	嗣 拵	自 拵	automatically close up	1
trung bình	忠 砰	中 平	medium	1
hồ sơ	乎 初	糊 疏	profile	1
hình dán	眼 𥻂	形 𥻂	sticker; descriptive Vietnamese synonym	2
trực quan	直 鰥	直 觀	visual	1
minh họa	盟 和	明 畫	illustration	1
kiểm soát	臉 詧	檢 詧	control	1
màu hòa	𦭷 禾	𦭷 和	colour blending	1
bán kính	半径	半徑	radius	6
tài liệu	才料	材料	document	3
khôi phục	恢复	恢復	restore; traditional form	24
giá trị	价値	價値	value; full form	4
thư pháp	书法	書法	calligraphy; full form	1
trong	𪚚	𥪝	inside; distinct from transparency	43
hình	型	形	image/form	53
đường	棠	塘	line	15
cao	膏	高	high	14
phần	枌	分	portion	14
lượng	亮	量	quantity	3
độ	渡	度	degree/extent	9
và	𢯓	吧	and	122
dùng	涌	用	use	54
mẫu	牡	㑄	sample	7
đục	鑟	濁	opaque	4
giải	螮	解	decode/decompress	20
bạn	叛	伴	you	10
đang	档	當	progressive	13
chưa	猪	𣗓	not yet	11
điểm	点	點	point; traditional form	2
vùng	摓	漨	area	44
ghi	剘	𥱬	record	35
nằm	噽	㑲	lie/be situated	21
thành	城	成	become/as	10
thiếu	粜	少	missing	4
trả	𪁳	㨋	return/pay	4
gạch	坧	劃	stroke/strike	5
siêu	銚	超	meta/super	4
chuyển	囀	轉	change/convert	9
viết	曰	𢪏	write	5
tĩnh	竫	靜	static	6
bộ	步	部	unit; encoder/decoder/buffer	20
của	𧶮	𧵑	possessive; selected attested spelling	38
thử	暑	㧗	try	13
bằng	朋	憑	by means of; equality repaired below	30
chung	盅	終	common	2
tìm	寻	尋	search; full form	4
cắt	𪁄	割	cut/crop	contextual
mũi tên	𪖫 𠸜	𪖫 箭	arrow; preserve filename tên	contextual
đồng hồ	童 乎	銅 壺	clockwise direction	contextual
trang	奘	張	page	contextual
mục	牧	目	entry	contextual
thư mục	姐 牧	書 目	directory; composed term	contextual
sắc nét	嗇 涅	銫 涅	sharp stroke	contextual
sẵn sàng	𠻿 牀	𠻿 𠳹	ready	contextual
bằng trình	鵬程	憑 呈	using the picker	contextual
ghi công	剘 公	𥱬 功	credit; composed term	contextual
ô	污	隖	cell/slot	contextual
biết	鼈	別	know	contextual
lỗi	儡	纇	error	contextual
phóng	倣	放	zoom; selected spelling	contextual
bút lông	椇	筆 𣯡	brush; descriptive synonym	contextual
bút phun	椇 噴	筆 噴	airbrush; descriptive synonym	contextual
đậm	沈	酖	bold	contextual
vàng	傍	鐄	gold	contextual
lấy	𫩉	𥙩	take/sample; selected spelling	contextual
tương thích	醬 倜	相 適	compatible; composed term	contextual
cùng	窮	共	same/together; preserve cuối cùng	contextual
từ	徐	自	from; separate 詞 for a written word	contextual
bằng	朋	平	equality; separate 憑 for instrumental	contextual
nhận	涊	認	receive	contextual
thường	償	常	usually	contextual
phổ	普	譜	spectrum	contextual
kim đồng hồ	金童 乎	針 銅 壺	clock hand	contextual
