hangul	hanja	record_id	jsonl_line	text_start	text_end	published_span	status	context	source_url
결과	結果	gongu:9001100	5832	1755	1761	결과(結果)	accepted_occurrence	Outcome of rural economic development; not the Buddhist homograph in record 9000507.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9001100&menuNo=200019
경계	境界	gongu:13313664	4537	101862	101868	경계(境界)	accepted_occurrence	Boundary of a territory; spatial boundary sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313664&menuNo=200019
계속	繼續	gongu:9000464	5277	4013	4019	계속(繼續)	accepted_occurrence	Continuing a story; surrounding spelling is historical, not an app grammar template.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000464&menuNo=200019
곡선	曲線	gongu:9000975	5712	40199	40205	곡선(曲線)	accepted_occurrence	Curved outlines of mountains; geometric curve sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000975&menuNo=200019
공간	空間	gongu:9030982	9198	315	321	공간(空間)	accepted_occurrence	Space occupied by a kite line.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9030982&menuNo=200019
기기	機器	gongu:9032166	10379	24468	24474	기기(機器)	accepted_occurrence	Equipment for writing and art; same general equipment sense, not proof of a modern phone UI phrase.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9032166&menuNo=200019
기록	記錄	gongu:9000392	5220	5146	5152	기록(記錄)	accepted_occurrence	Detailed recording in literary description.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000392&menuNo=200019
도구	道具	gongu:9000335	5163	2895	2901	도구(道具)	accepted_occurrence	Literature described as a tool; general tool sense, used metaphorically.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000335&menuNo=200019
문서	文書	gongu:13313772	4645	866	872	문서(文書)	accepted_occurrence	Collecting needed written documents.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313772&menuNo=200019
문자	文字	gongu:9000736	5543	101	107	문자(文字)	accepted_occurrence	Visible lettering on signs.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000736&menuNo=200019
반투명	半透明	gongu:13313843	4716	280984	280992	반투명(半透明)	accepted_occurrence	Light passing through a glass-like surface; translucent sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313843&menuNo=200019
배경	背景	gongu:9030933	9149	12565	12571	배경(背景)	accepted_occurrence	A pier used as the background of a photograph.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9030933&menuNo=200019
